"Croiss"	"Ramif"	"ICMeca"	"DirectionConstraint"
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
1	1	0.02	0
