"Croiss" "Ramif"	"ICMeca"	"DirectionConstraint"
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
1.0	1	0.00	0
