NumAxe Jour Diam     X1       Y1       Z1      X2       Y2       Z2
    1    33    0.70   -1.61  -70.56  545.68   -1.78  -69.84  550.63
    1    33    0.70   -1.78  -69.84  550.63   -1.97  -69.61  555.62
    1    33    0.70   -1.97  -69.61  555.62   -2.27  -69.72  560.61
    1    33    0.70   -2.27  -69.72  560.61   -2.19  -69.88  565.61
    1    33    0.70   -2.19  -69.88  565.61   -2.44  -69.68  570.60
    1    33    0.70   -2.44  -69.68  570.60   -2.58  -69.80  575.59
    1    33    0.70   -2.58  -69.80  575.59   -2.57  -70.27  580.57
    2    33    0.70  123.43  -78.25  458.00  123.25  -78.89  462.95
    2    33    0.70  123.25  -78.89  462.95  123.46  -79.44  467.92
    2    33    0.70  123.46  -79.44  467.92  123.94  -79.90  472.87
    2    33    0.70  123.94  -79.90  472.87  124.73  -80.44  477.78
    2    33    0.70  124.73  -80.44  477.78  125.16  -81.23  482.70
    2    33    0.70  125.16  -81.23  482.70  125.82  -82.06  487.58
    2    33    0.70  125.82  -82.06  487.58  126.33  -82.62  492.52
    3    33    0.70   45.99  -70.92  449.40   45.02  -68.76  453.81
    3    33    0.70   45.02  -68.76  453.81   43.98  -66.35  458.06
    3    33    0.70   43.98  -66.35  458.06   42.74  -63.94  462.26
    3    33    0.70   42.74  -63.94  462.26   41.26  -61.66  466.46
    3    33    0.70   41.26  -61.66  466.46   39.95  -59.29  470.66
    3    33    0.70   39.95  -59.29  470.66   38.52  -56.67  474.68
    3    33    0.70   38.52  -56.67  474.68   36.69  -54.31  478.69
    3    33    0.70   36.69  -54.31  478.69   34.76  -52.40  482.88
   17    33    0.70  -68.95 -255.03  326.79  -69.26 -255.32  331.77
   17    33    0.70  -69.26 -255.32  331.77  -69.87 -255.74  336.71
   17    33    0.70  -69.87 -255.74  336.71  -70.75 -256.48  341.58
   17    33    0.70  -70.75 -256.48  341.58  -71.94 -256.95  346.42
   17    33    0.70  -71.94 -256.95  346.42  -73.44 -257.74  351.12
   17    33    0.70  -73.44 -257.74  351.12  -74.59 -258.35  355.95
   17    33    0.70  -74.59 -258.35  355.95  -75.88 -259.14  360.71
   41    33    0.70  -26.86  -76.21  406.61  -27.35  -76.02  411.59
   41    33    0.70  -27.35  -76.02  411.59  -27.72  -76.13  416.57
   41    33    0.70  -27.72  -76.13  416.57  -28.18  -75.80  421.54
   41    33    0.70  -28.18  -75.80  421.54  -28.61  -75.13  426.48
   41    33    0.70  -28.61  -75.13  426.48  -29.33  -74.78  431.41
   41    33    0.70  -29.33  -74.78  431.41  -30.31  -74.73  436.31
   41    33    0.70  -30.31  -74.73  436.31  -30.97  -75.01  441.26
   80    33    0.70  -91.11  -15.31  368.28  -93.35  -15.30  372.76
   80    33    0.70  -93.35  -15.30  372.76  -95.18  -15.16  377.41
   80    33    0.70  -95.18  -15.16  377.41  -97.35  -15.21  381.91
   80    33    0.70  -97.35  -15.21  381.91  -99.56  -15.20  386.39
   80    33    0.70  -99.56  -15.20  386.39 -101.35  -15.13  391.06
   80    33    0.70 -101.35  -15.13  391.06 -103.19  -15.47  395.70
   80    33    0.70 -103.19  -15.47  395.70 -104.59  -15.97  400.48
   80    33    0.70 -104.59  -15.97  400.48 -105.63  -16.16  405.36
  134    33    0.70    4.05  -65.01  332.01    4.13  -66.16  336.87
  134    33    0.70    4.13  -66.16  336.87    3.87  -66.97  341.80
  134    33    0.70    3.87  -66.97  341.80    3.21  -68.03  346.64
  134    33    0.70    3.21  -68.03  346.64    2.22  -69.21  351.40
  134    33    0.70    2.22  -69.21  351.40    0.97  -70.09  356.16
  134    33    0.70    0.97  -70.09  356.16   -0.43  -70.56  360.94
  134    33    0.70   -0.43  -70.56  360.94   -1.98  -70.99  365.67
  187    33    0.33   58.29 -173.43   41.58   59.85 -175.71   42.38
  207    33    0.70 -165.10  115.47  223.53 -166.99  116.90  227.93
  207    33    0.70 -166.99  116.90  227.93 -168.62  118.65  232.33
  207    33    0.70 -168.62  118.65  232.33 -170.19  119.97  236.88
  207    33    0.70 -170.19  119.97  236.88 -171.77  121.40  241.41
  207    33    0.70 -171.77  121.40  241.41 -173.28  122.86  245.94
  207    33    0.70 -173.28  122.86  245.94 -174.44  124.66  250.46
  207    33    0.70 -174.44  124.66  250.46 -175.70  126.03  255.10
  207    33    0.70 -175.70  126.03  255.10 -177.17  127.67  259.59
  220    33    0.32  -11.32 -144.05  234.53  -10.80 -146.38  235.26
  308    33    0.70 -228.70   24.60  131.70 -233.59   24.95  132.71
  308    33    0.70 -233.59   24.95  132.71 -238.43   25.09  133.92
  308    33    0.70 -238.43   25.09  133.92 -243.23   24.97  135.34
  308    33    0.70 -243.23   24.97  135.34 -247.96   24.61  136.92
