Croiss	Ramif	ICMeca	Direction contr. (0 : isotrope, 1 verticale)
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
0.7	1	0.005	0
