plant#	rootMass(mg)	
1	0.0	
1	0.0	
1	0.7285827694774977	
1	2.199386484766674	
1	4.4258752993655595	
1	7.421310407022851	
1	8.82514204744957	
1	8.926587825148536	
1	9.130634094599579	
1	9.33218720898239	
1	9.648783111610099	
1	10.041605690475102	
1	10.553103229858987	
1	11.309060765481998	
1	12.041990142740595	
1	13.080532079444854	
1	14.437795635798334	
1	16.239778963326085	
1	18.6551661947111	
1	21.91787311412949	
1	26.775757664899814	
1	33.25188497810248	
1	41.71581793872112	
1	52.75472855114172	
1	67.45495013228901	
1	86.56715060195079	
1	108.08523025638611	
1	130.5493106497785	
1	153.95923842112566	
1	178.31388872442463	
1	203.61113465808288	
1	229.84781723509315	
1	257.0197159475614	
1	285.1215199794017	
1	314.14680012114644	
1	344.0879814408609	
1	374.93631676509483	
1	406.6818610236497	
1	439.31344651169024	
1	472.81865912237595	
1	507.18381560273735	
1	542.3939418849681	
1	578.4327525446496	
1	615.2826314366683	
1	652.924613558727	
1	691.3383681913872	
1	730.502183362526	
1	770.3929516829132	
1	810.986157598363	
1	852.2558661025441	
1	894.1747129530698	
1	936.7138964319332	
1	979.8431706896932	
1	1023.5308407110749	
1	1067.7437589377998	
1	1112.4473235825387	
1	1157.605478665859	
1	1203.180715805935	
1	1249.1340777886137	
1	1295.4251639431566	
1	1342.0121373466488	
1	1388.851733877654	
1	1435.8992731372093	
1	1483.1086712527235	
1	1530.432455577723	
1	1577.821781297738	
1	1625.2264499499026	
1	1672.5949298610803	
1	1719.8743785065162	
1	1767.010666788178	
1	1813.9484052290543	
1	1860.630972076781	
1	1907.0005433070187	
1	1952.998124514054	
1	1998.5635846731257	
1	2043.6356917559915	
1	2088.1521501782763	
1	2132.0496400541474	
1	2175.2638582308887	
1	2217.7295610729875	
1	2259.380608962385	
1	2300.1500124786276	
1	2339.969980219752	
1	2378.771968221875	
1	2416.4867309326296	
1	2453.0443736908173	
1	2488.3744066619	
1	2522.405800176293	
1	2555.0670414147926	
1	2586.2861923829296	
1	2615.9909491135486	
1	2644.1087020345153	
1	2670.5665974361236	
1	2695.291599970536	
