Croiss	Ramif	ICMeca	Direction contr. (0 : isotrope, 1 verticale)
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
1.5	1	0.02	0
