plant#	transpiration	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	1.570500250425717E-12	
2	9.60689346742225E-13	
1	1.943062083104366E-12	
2	1.572889940909881E-12	
1	9.441622791594983E-13	
2	2.973540146260526E-12	
1	3.309172057883594E-12	
2	3.6131200746525453E-12	
1	3.3583080036170933E-12	
2	5.035794788122697E-12	
1	3.395057906474515E-12	
2	7.352840327401851E-12	
1	6.370705962738739E-12	
2	6.83940318500827E-12	
1	8.825971148139995E-12	
2	9.734865720208131E-12	
1	1.307416657406804E-11	
2	1.358024535791541E-11	
1	2.8423667055466535E-11	
2	2.0494841289898246E-11	
1	3.8651830313144414E-11	
2	3.2005874164745095E-11	
1	4.751725386848489E-11	
2	6.168498712548178E-11	
1	7.001510800165197E-11	
2	8.34025792888197E-11	
1	9.244698023663393E-11	
2	1.1892949922444041E-10	
1	1.3042281964952443E-10	
2	1.4934321330336956E-10	
1	1.8837395009306124E-10	
2	2.5021738089591767E-10	
1	2.6387083878632567E-10	
2	3.2779710691018324E-10	
1	3.609570316468921E-10	
2	4.2121659346990953E-10	
1	5.238602373366642E-10	
2	5.804973201955042E-10	
1	6.56437250318024E-10	
2	8.071379728375913E-10	
1	7.818517854639497E-10	
2	9.215124232385963E-10	
1	1.1580156148885404E-9	
2	1.3540313823752753E-9	
1	1.3397454054242408E-9	
2	1.5637864771990983E-9	
1	1.6277537456219527E-9	
2	1.7428308945268463E-9	
1	1.9125527565698593E-9	
2	2.1578036982897438E-9	
1	2.136892791316582E-9	
2	2.3022565292015994E-9	
1	2.364156003947388E-9	
2	2.4835673939022362E-9	
1	3.029503752913904E-9	
2	3.7114194761255354E-9	
1	3.4958099173759447E-9	
2	3.5062829048251833E-9	
1	3.7525734829149065E-9	
2	4.177680300653532E-9	
1	4.295973698978311E-9	
2	4.547234901384847E-9	
1	4.698279767867228E-9	
2	4.8048096370892405E-9	
1	5.027750173717346E-9	
2	5.165822857167115E-9	
1	6.168247800223673E-9	
2	6.237772255279435E-9	
1	6.7445181485938935E-9	
2	7.14675061462222E-9	
1	7.520272186364078E-9	
2	7.63944654852545E-9	
1	8.268926530657295E-9	
2	8.12341003780923E-9	
1	9.03541465683652E-9	
2	8.930257915668714E-9	
1	9.166817542553015E-9	
2	9.653208215143335E-9	
1	1.1275178940889808E-8	
2	1.0985714191945095E-8	
1	1.1321556328646642E-8	
2	1.2375561265477584E-8	
1	1.3184831794047452E-8	
2	1.29633376511655E-8	
1	1.3458127423382958E-8	
2	1.3808226147702614E-8	
1	1.4209071411674378E-8	
2	1.4442314746054759E-8	
1	1.5257702304968304E-8	
2	1.6867386289294123E-8	
1	1.6710645392825362E-8	
2	1.8396167033767923E-8	
1	1.847196840305545E-8	
2	1.8737790362668318E-8	
1	1.9938956104635426E-8	
2	1.9915759059546238E-8	
1	1.943460764209877E-8	
2	2.053734116978298E-8	
1	2.3486806447976937E-8	
2	2.2705872613203802E-8	
1	2.4201583663191854E-8	
2	2.4844203458622286E-8	
1	2.5434451921246668E-8	
2	2.5842415880967635E-8	
1	2.5933046344247186E-8	
2	2.6711111267271776E-8	
