time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
1	0	0.0	1.0	0.0	0.0	0.1	0.0	NaN	0.0	NaN	
2	0	0.0	1.0	0.0	0.0	0.1	0.0	NaN	0.0	NaN	
3	0	0.0	1.0	0.0	0.0	0.09868366698887	0.0	NaN	0.0	NaN	
4	0	1.1257771665567784E-4	1.0	0.0	0.0	0.09356925873044619	0.0	0.0	1.1257771665567784E-4	NaN	
5	0	3.3581469321961526E-4	1.0	4.071385856573285E-5	52.40931397919597	0.08612488239218077	0.0	0.0	3.3581469321961526E-4	1.739085647455746	
6	0	6.675093645202824E-4	1.0	2.0754665654721852E-4	258.28734371818115	0.08048263725650784	0.0	0.0	6.675093645202824E-4	0.9928051767679046	
7	0	9.743217374279113E-4	1.0	3.788896122780659E-4	484.04529798454024	0.08179934845139726	0.0	0.0	9.743217374279113E-4	1.1161359939827382	
8	0	0.0011570741312151747	1.0	6.749842952295697E-4	833.1511873332088	0.09668414573305795	0.0	0.0	0.0011570741312151747	1.156007912321031	
9	0	0.0013819719028006503	1.0	8.274568955189261E-4	1022.9602358712997	0.11498363720683194	0.0	0.0	0.0013819719028006503	1.1136594947978526	
10	0	0.0016522034800236323	1.0	0.001008540858133639	1248.5805429557329	0.13733825276453127	0.0	0.0	0.0016522034800236323	1.184433067767325	
11	0	0.001983513171768264	1.0	0.0012671887100468788	1546.6384760651565	0.1650613966913983	0.0	0.0	0.001983513171768264	1.1054067754654744	
12	0	0.0024179278349017175	1.0	0.0016872811104659338	2040.1335208972139	0.20173174591921078	0.0	0.0	0.0024179278349017175	1.134514325226926	
13	0	0.0029230915032521475	1.0	0.0019308154062322271	2392.355135661582	0.24468160671851555	0.0	0.0	0.0029230915032521475	1.1455892396570162	
14	0	0.003573823882329868	1.0	0.0025401428261044197	3095.259055024231	0.3003535000210678	0.0	0.0	0.003573823882329868	1.139792047323319	
15	0	0.004373414106156812	1.0	0.0031146438900590667	3824.14481965607	0.3691475306464218	0.0	0.0	0.004373414106156812	1.1526644680509823	
16	0	0.005293575879302681	1.0	0.003520278120736242	4456.1281526993735	0.4491898652034751	0.0	0.0	0.005293575879302681	1.123596804284448	
17	0	0.006384255172157111	1.0	0.004146807438508419	5332.963537830676	0.5449355336786629	0.0	0.0	0.006384255172157111	1.1368414663476494	
18	0	0.0077618003028906216	1.0	0.0053861745757277715	6780.141783257553	0.6668279365665766	0.0	0.0	0.0077618003028906216	1.1417836399232815	
19	0	0.009390897606729332	1.0	0.006224277154296579	8082.017873975297	0.8120165553523413	0.0	0.0	0.009390897606729332	1.0981209754356087	
20	0	0.011381981428399687	1.0	0.007667759441246392	9941.297005729431	0.9906577731669254	0.0	0.0	0.011381981428399687	1.088765515813777	
21	0	0.013825910143398328	1.0	0.00946525951908224	12308.926999792466	1.2119372976455374	0.0	0.0	0.013825910143398328	1.1056462517809527	
22	0	0.016587672356401836	1.0	0.011141242797437187	14750.138721756257	1.4824743438513066	0.0	0.0	0.016587672356401836	1.0852840789002383	
23	0	0.019522513337708398	1.0	0.01401568503806069	18330.62118591339	1.8374757220295126	0.0	0.0	0.019522513337708398	1.1067489519932057	
24	0	0.022610405973784695	1.0	0.016101126560420304	21505.249853290105	2.266189218235627	0.0	0.0	0.022610405973784695	1.1309333777535133	
25	0	0.025830016877596687	1.0	0.01895473480668379	25177.296042611837	2.781860157815631	0.0	0.0	0.025830016877596687	1.1008993557443778	
26	0	0.02924493032803436	1.0	0.021582586220789773	28926.754734023612	3.3829423849793065	0.0	0.0	0.02924493032803436	1.1180732056853022	
27	0	0.032828202137583	1.0	0.024122619937151618	32758.832262602842	4.071846600386744	0.0	0.0	0.032828202137583	1.1076156504262653	
28	0	0.036551224330394205	1.0	0.027499237219928713	37142.12290823903	4.8633991823432225	0.0	0.0	0.036551224330394205	1.1131630915569826	
29	0	0.040383688489512085	1.0	0.031244979874181147	41891.51008374497	5.767469985429041	0.0	0.0	0.040383688489512085	1.0986621821559825	
30	0	0.04429355017696745	1.0	0.03385497022382942	46194.832331195495	6.772460590471355	0.0	0.0	0.04429355017696745	1.087962335498539	
31	0	0.048341036442475574	1.0	0.036969460180690965	50788.45734265796	7.88242966354988	0.0	0.0	0.048341036442475574	1.1060575956154681	
32	0	0.0524869788170817	1.0	0.04089064300321315	56004.667134081465	9.114351845275394	0.0	0.0	0.0524869788170817	1.1111599920053838	
33	0	0.056690081640865114	1.0	0.04368980654430271	60875.05433455431	10.459559899453192	0.0	0.0	0.056690081640865114	1.108768225668728	
34	0	0.06090688514260309	1.0	0.04842511207401227	66689.21729808558	11.943601854137126	0.0	0.0	0.06090688514260309	1.1078814725285206	
35	0	0.06509173021127956	1.0	0.05111695838895884	71495.65447845562	13.540349979852163	0.0	0.0	0.06509173021127956	1.1017037095905617	
36	0	0.06929879167860212	1.0	0.054402794192686	76601.84315712498	15.254226250474863	0.0	0.0	0.06929879167860212	1.0923517582819815	
37	0	0.07347363950686024	1.0	0.058307537230524745	82200.14499932504	17.099257952693062	0.0	0.0	0.07347363950686024	1.0921336981388554	
38	0	0.07755923145031096	1.0	0.06257856382488058	87550.2974973443	19.069901450730054	0.0	0.0	0.07755923145031096	1.0923107355115775	
39	0	0.08149587985038782	1.0	0.06506053561665444	92569.56682951254	21.158582367482374	0.0	0.0	0.08149587985038782	1.0924359480001808	
40	0	0.08553319987190879	1.0	0.06877298233051381	97856.51181480545	23.363015919420473	0.0	0.0	0.08553319987190879	1.096567831496108	
41	0	0.0896478243745057	1.0	0.07133451122290788	102796.97763157061	25.67432118773269	0.0	0.0	0.0896478243745057	1.1001953272074052	
42	0	0.09378754393794493	1.0	0.07532459333092244	108289.67206711887	28.10832532386767	0.0	0.0	0.09378754393794493	1.0933877738121842	
43	0	0.09789773983831247	1.0	0.0781981057360583	113640.3536017561	30.662483087054113	0.0	0.0	0.09789773983831247	1.0827489771700614	
44	0	0.10198537513128085	1.0	0.08135836062788827	118744.83278641406	33.32892876047216	0.0	0.0	0.10198537513128085	1.091336253706348	
45	0	0.10617354433153	1.0	0.08396622241679587	123790.08111449979	36.09991561314136	0.0	0.0	0.10617354433153	1.0887855334871335	
46	0	0.11040559715273587	1.0	0.08804678376185239	129551.86682721484	38.995820553394594	0.0	0.0	0.11040559715273587	1.086749011989144	
47	0	0.11462239037623902	1.0	0.0909914759298548	135002.870891971	42.009815465874475	0.0	0.0	0.11462239037623902	1.0792163875117737	
