time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	transpiration	
1	11.247441493196293	1	1	1	1	0	0	11.247441493196293	1.0	0	0.0	NaN	NaN	100.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
2	11.367595075476835	1	1	1	1	0	0	11.367595075476835	1.0	0	0.0	NaN	NaN	100.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
3	22.856168219862564	1	1	1	1	0	0	22.856168219862564	2.0	0	0.0	NaN	NaN	98.68366698887	0.0	0.0	0.0	0.9714436926366637	0.0	0.0	0.0	
4	34.4665080713728	1	1	1	1	0	0	34.4665080713728	3.0	0	1.1257771665567784E-4	NaN	NaN	93.5692587304462	0.0	4.740114385502225	3.1600762570014824	2.9325153130222326	2.6939980867011464	7.900190642503707	0.0	
5	46.1993671861199	1	1	1	1	0	0	46.1993671861199	4.0	0	3.3581469321961526E-4	0.3616511311049002	1.739085647455746	86.12488239218077	0.0	14.13956603029959	9.426377353533061	5.901167065820747	3.9934377591723123	23.565943383832654	6.85809145341363E-12	
6	58.055461815114334	1	1	1	1	0	0	58.055461815114334	5.0	0	6.675093645202824E-4	0.6180392363340924	0.9928051767679046	80.48263725650784	0.0	28.105657453485577	18.737104968990387	9.895080542697137	4.7339445313608195	46.842762422475964	3.235702622571793E-11	
7	70.03547169202406	1	1	1	1	0	0	70.03547169202406	6.0	0	9.743217374279113E-4	0.567616924071712	1.1161359939827382	81.79934845139726	0.0	41.02407315485943	27.34938210323962	13.425893193298208	5.092655980030362	68.37345525809906	6.056528463087122E-11	
8	82.14003983175478	1	1	1	1	0	0	82.14003983175478	7.0	0	0.0011570741312151747	0.6927735154626076	1.156007912321031	96.68414573305795	0.0	48.71891078800736	32.479273858671576	15.485961086379007	5.243341643038123	81.19818464667894	1.0278705662879837E-10	
9	94.36977233991072	1	1	1	1	0	0	94.36977233991072	8.0	0	0.0013819719028006503	0.7151286794822038	1.1136594947978526	114.98363720683194	0.0	58.18829064423792	38.79219376282528	18.00315279976876	5.386861150692941	96.98048440706319	1.2540550404506945E-10	
10	106.72523823319248	1	1	1	1	0	0	106.72523823319248	9.0	0	0.0016522034800236323	0.7297839095641305	1.184433067767325	137.33825276453126	0.0	69.56646231678454	46.98037454437101	20.791415903375736	5.605526694419728	116.54683686115555	1.5989882271906148E-10	
11	119.20696927078511	1	1	1	1	0	0	119.20696927078511	10.0	0	0.001983513171768264	0.7669689147663299	1.1054067754654744	165.0613966913983	0.0	83.51634407445323	57.50543727959457	24.039615337350508	5.866224537084889	141.0217813540478	2.213191973734595E-10	
12	131.81545979678634	1	1	1	1	0	0	131.81545979678634	11.0	0	0.0024179278349017175	0.8506528388524666	1.134514325226926	201.73174591921077	0.0	101.8074877853355	71.75939941775553	28.164858716119745	6.1625335654090305	173.56688720309103	3.6927936520611005E-10	
13	144.55116659372183	1	1	1	1	0	0	144.55116659372183	12.0	0	0.0029230915032521475	0.7985413701607474	1.1455892396570162	244.68160671851555	0.0	123.0775369790378	88.7312702326259	32.87279950685186	6.443284733553502	211.8088072116637	4.2692465898888873E-10	
14	157.4145087471906	1	1	1	1	0	0	157.4145087471906	13.0	0	0.003573823882329868	0.8689918954908972	1.139792047323319	300.3535000210678	0.0	150.47679504546812	110.99438305039021	38.88232192520944	6.724680141242619	261.47117809585836	5.598385094875333E-10	
15	170.40586752168093	1	1	1	1	0	0	170.40586752168093	14.0	0	0.004373414106156812	0.871515774870403	1.1526644680509823	369.1475306464218	0.0	184.1437518381816	138.74960794033447	46.25417086790573	6.980848509870519	322.89335977851607	6.894513479823676E-10	
16	183.52558624759345	1	1	1	1	0	0	183.52558624759345	15.0	0	0.005293575879302681	0.8049267769499484	1.123596804284448	449.1898652034751	0.0	222.88740544432346	171.88575697465396	54.41670278449767	7.254632166567819	394.77316241897745	8.091890183409092E-10	
17	196.77397021950497	1	1	1	1	0	0	196.77397021950497	16.0	0	0.006384255172157111	0.7833660144028531	1.1368414663476494	544.9355336786629	0.0	268.8107440908258	212.27689572098433	63.84789386685286	7.534902260285372	481.0876398118101	1.1546693324681591E-9	
18	210.1512866057031	1	1	1	1	0	0	210.1512866057031	17.0	0	0.0077618003028906216	0.8436653032319026	1.1417836399232815	666.8279365665766	0.0	326.81264433223674	264.43740451911384	75.57788771522596	7.823056011821261	591.2500488513506	1.5296527038131231E-9	
19	223.65776436901845	1	1	1	1	0	0	223.65776436901845	18.0	0	0.009390897606729332	0.8019115297231437	1.0981209754356087	812.0165553523412	0.0	395.40621502018246	327.2587450713738	89.35159526078503	8.08787977408079	722.6649600915563	2.0998799361420376E-9	
