time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
1	0	0.0	1.0	0.0	0.0	0.1	0.0	NaN	0.0	NaN	
2	0	0.0	1.0	0.0	0.0	0.1	0.0	NaN	0.0	NaN	
3	0	0.0	1.0	0.0	0.0	0.09868366698887	0.0	NaN	0.0	NaN	
4	0	1.1257771665567784E-4	1.0	0.0	0.0	0.09356925873044619	0.0	0.0	1.1257771665567784E-4	NaN	
5	0	3.3581469321961526E-4	1.0	7.243204398625852E-5	0.0	0.08474096204724611	0.0	0.0	3.3581469321961526E-4	0.802554045969672	
6	0	6.675093645202824E-4	1.0	2.0842551017427957E-4	0.0	0.07229083659645533	0.0	0.0	6.675093645202824E-4	1.053164373430632	
7	0	7.952177084349142E-4	1.0	3.750949431379809E-4	0.0	0.06716950623651298	0.0	0.0	7.952177084349142E-4	0.9114707537979017	
8	0	9.447447854525094E-4	1.0	6.116176344203705E-4	681.7624322387265	0.07934817149721002	0.0	0.0	9.447447854525094E-4	1.101421495837807	
9	0	0.001113339730864442	1.0	8.704373664424615E-4	769.2047365815965	0.09306641220869914	0.0	0.0	0.001113339730864442	1.1224400227848197	
10	0	0.0013440673145532394	1.0	0.0010078835321943272	1064.3148595666185	0.11215310253898562	0.0	0.0	0.0013440673145532394	1.1131010385701372	
11	0	0.0015390823620770131	1.0	0.00103300877209507	921.0527240698578	0.12847146075524207	0.0	0.0	0.0015390823620770131	1.1688377581699692	
12	0	0.0017479790379478135	1.0	0.0011854730370255049	997.7719047981778	0.14610510599515453	0.0	0.0	0.0017479790379478135	1.1290279599451025	
13	0	0.0020894032574355088	1.0	0.001415098581534359	1620.2443655410818	0.1751335647289195	0.0	0.0	0.0020894032574355088	1.1829225846572164	
14	0	0.002446559139107101	1.0	0.0017914447785922854	1712.7590693356383	0.20568920446054115	0.0	0.0	0.002446559139107101	1.1784086557300941	
15	0	0.0029528083298208394	1.0	0.0021380472568542507	2426.4942570140383	0.24924516761793863	0.0	0.0	0.0029528083298208394	1.1194242636445864	
16	0	0.0033992571460104487	1.0	0.002452813401819487	2185.9531726183973	0.2880805186952586	0.0	0.0	0.0033992571460104487	1.1536917025728421	
17	0	0.0038806896257525866	1.0	0.0027291797617615644	2384.6110849598076	0.33034323964409246	0.0	0.0	0.0038806896257525866	1.1330254895750924	
18	0	0.004669526652740534	1.0	0.0031819366753986465	3888.812668651185	0.400143668364217	0.0	0.0	0.004669526652740534	1.1040523458017153	
19	0	0.005492910890983369	1.0	0.003647069543754543	4106.353575526332	0.4735254240142662	0.0	0.0	0.005492910890983369	1.0716466542943446	
20	0	0.006266117980881225	1.0	0.00448319083890882	3914.4678956506086	0.5428980213197613	0.0	0.0	0.006266117980881225	1.0906206939278673	
21	0	0.007622719228922872	1.0	0.005259548025576752	6830.178554085434	0.6657281502148729	0.0	0.0	0.007622719228922872	1.1093819509416423	
22	0	0.008615843916465506	1.0	0.0063756527808115785	5131.563077305503	0.7563869011020494	0.0	0.0	0.008615843916465506	1.1104421681541263	
23	0	0.010099040102050141	1.0	0.00688838961868871	7638.605893848909	0.8928151826881885	0.0	0.0	0.010099040102050141	1.0834078629333974	
24	0	0.011853953601343094	1.0	0.00859498283469901	9101.000114760645	1.0554151533585117	0.0	0.0	0.011853953601343094	1.089127798141101	
25	0	0.01437178416457095	1.0	0.009892942158490795	13071.230344688878	1.290377273829651	0.0	0.0	0.01437178416457095	1.1233754009392827	
26	0	0.016577211127728916	1.0	0.011641869825611528	11667.455128741243	1.497911471095203	0.0	0.0	0.016577211127728916	1.0909581805290762	
27	0	0.01970690271818057	1.0	0.01400965266785872	16572.362872497408	1.7948014986351195	0.0	0.0	0.01970690271818057	1.1067784279173865	
28	0	0.023191916704542223	1.0	0.01657171728139692	18640.67314974029	2.1280521798281478	0.0	0.0	0.023191916704542223	1.0716882788579438	
29	0	0.026694141970657163	1.0	0.01910085230313701	18991.528300028775	2.4656886584986224	0.0	0.0	0.026694141970657163	1.1166990434906463	
30	0	0.03060400365811252	1.0	0.02197100962745236	24977.573758019545	2.940132365600028	0.0	0.0	0.03060400365811252	1.0989212043356933	
31	0	0.03465148992362065	1.0	0.025372608822220814	29416.2971944834	3.520239131829694	0.0	0.0	0.03465148992362065	1.1028985155586828	
32	0	0.03879743229822677	1.0	0.028406233409414436	30311.331188147728	4.112962799352366	0.0	0.0	0.03879743229822677	1.1036665391392468	
33	0	0.0430005351220102	1.0	0.03211692985015164	40662.099479019285	4.969440069028213	0.0	0.0	0.0430005351220102	1.1038782148237756	
34	0	0.047217338623748155	1.0	0.03591259646842464	44672.63116506206	5.921523128757355	0.0	0.0	0.047217338623748155	1.0997166618995273	
35	0	0.051402183692424636	1.0	0.039461717224737264	46894.73449045107	6.922858069797558	0.0	0.0	0.051402183692424636	1.08818915336501	
36	0	0.05560924515974718	1.0	0.04303880708214706	46974.03645969047	7.913939903958297	0.0	0.0	0.05560924515974718	1.0813226175341955	
37	0	0.05978409298800532	1.0	0.04589673836005175	54692.37988145367	9.09866413759263	0.0	0.0	0.05978409298800532	1.0821934066732226	
38	0	0.06386968493145603	1.0	0.04983671160550143	57154.56713351345	10.338683323978206	0.0	0.0	0.06386968493145603	1.0983471614537703	
39	0	0.0678063333315329	1.0	0.05359735256757545	60917.66206739125	11.670145006722722	0.0	0.0	0.0678063333315329	1.0957078802886808	
40	0	0.07184365335305387	1.0	0.05596125492974122	53179.01195392677	12.780220433581293	0.0	0.0	0.07184365335305387	1.0917584563076905	
41	0	0.07595827785565076	1.0	0.05903388668102135	56325.481460331306	13.959644533368314	0.0	0.0	0.07595827785565076	1.0838279284141479	
42	0	0.08009799741909002	1.0	0.062168989689037106	56361.776789619915	15.127872756694932	0.0	0.0	0.08009799741909002	1.0828467557544836	
43	0	0.08420819331945756	1.0	0.06547528080285944	54934.668209912954	16.24867226452892	0.0	0.0	0.08420819331945756	1.0907616860149218	
44	0	0.08829582861242594	1.0	0.06834453597982405	55183.33957635397	17.36643744564485	0.0	0.0	0.08829582861242594	1.0842074357775573	
45	0	0.0924839978126751	1.0	0.07231114697004487	53191.82550758149	18.416869182591217	0.0	0.0	0.0924839978126751	1.0874572851032616	
46	0	0.09671605063388097	1.0	0.07571908846756499	55363.652544209595	19.512907554362354	0.0	0.0	0.09671605063388097	1.0897473457317743	
47	0	0.1009328438573841	1.0	0.07820644064269004	49264.385199421275	20.438238230636053	0.0	0.0	0.1009328438573841	1.0861276587917224	
