time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	transpiration	
1	11.247441493196293	1	1	1	1	0	0	11.247441493196293	1.0	0	0.0	NaN	NaN	100.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
2	11.367595075476835	1	1	1	1	0	0	11.367595075476835	1.0	0	0.0	NaN	NaN	100.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
3	22.856168219862564	1	1	1	1	0	0	22.856168219862564	2.0	0	0.0	NaN	NaN	98.68366698887	0.0	0.0	0.0	0.9714436926366637	0.0	0.0	0.0	
4	34.4665080713728	1	1	1	1	0	0	34.4665080713728	3.0	0	1.1257771665567784E-4	NaN	NaN	93.5692587304462	0.0	4.740114385502225	3.1600762570014824	2.9325153130222326	2.6939980867011464	7.900190642503707	0.0	
5	46.1993671861199	1	1	1	1	0	0	46.1993671861199	4.0	0	3.3581469321961526E-4	0.6433959236159853	0.802554045969672	84.74096204724611	0.0	14.13956603029959	9.426377353533061	5.901167065820747	3.9934377591723123	23.565943383832654	9.399192542414704E-13	
6	58.055461815114334	1	1	1	1	0	0	58.055461815114334	5.0	0	6.675093645202824E-4	0.6206563154697164	1.053164373430632	72.29083659645532	0.0	28.105657453485577	18.737104968990387	9.895080542697137	4.7339445313608195	46.842762422475964	2.803863087254214E-12	
7	70.03547169202406	1	1	1	1	0	0	70.03547169202406	6.0	0	7.952177084349142E-4	0.5619321062372654	0.9114707537979017	67.16950623651297	0.0	33.48285088147008	22.32190058764672	11.364754767396184	4.910334856429322	55.804751469116795	5.573636710187199E-12	
8	82.14003983175478	1	1	1	1	0	0	82.14003983175478	7.0	0	9.447447854525094E-4	0.7691197365613359	1.101421495837807	79.34817149721002	0.0	39.77872780852672	26.51915187235115	13.05029181633215	5.080183693510022	66.29787968087787	8.435677647811964E-11	
9	94.36977233991072	1	1	1	1	0	0	94.36977233991072	8.0	0	0.001113339730864442	0.921346568772585	1.1224400227848197	93.06641220869913	0.0	46.87746235218703	31.251641568124693	14.937308288387412	5.2304673915748925	78.12910392031172	9.562297392119435E-11	
10	106.72523823319248	1	1	1	1	0	0	106.72523823319248	9.0	0	0.0013440673145532394	0.9052794077615156	1.1131010385701372	112.15310253898562	0.0	56.59230798118902	38.24282737234395	17.31796718545265	5.476112429246078	94.83513535353298	1.3649473342898036E-10	
11	119.20696927078511	1	1	1	1	0	0	119.20696927078511	10.0	0	0.0015390823620770131	0.7685692233639625	1.1688377581699692	128.47146075524208	0.0	64.80346787692687	44.4380750836074	19.229917794707806	5.680811750042854	109.24154296053428	1.277814164436838E-10	
12	131.81545979678634	1	1	1	1	0	0	131.81545979678634	11.0	0	0.0017479790379478135	0.7702466523141053	1.1290279599451025	146.10510599515453	0.0	73.59911738727638	51.29236790874471	21.213620699133457	5.887325274045402	124.89148529602109	1.5826475757424722E-10	
13	144.55116659372183	1	1	1	1	0	0	144.55116659372183	12.0	0	0.0020894032574355088	0.809562672556836	1.1829225846572164	175.1335647289195	0.0	87.97487399728459	62.76312107105134	24.3955696605836	6.178908595517909	150.73799506833592	2.728797170060579E-10	
14	157.4145087471906	1	1	1	1	0	0	157.4145087471906	13.0	0	0.002446559139107101	0.857395417671105	1.1784086557300941	205.68920446054113	0.0	103.01301638345689	74.9822789658102	27.693909111274053	6.427236206852649	177.99529534926708	3.091247899136194E-10	
15	170.40586752168093	1	1	1	1	0	0	170.40586752168093	14.0	0	0.0029528083298208394	0.8738996833056547	1.1194242636445864	249.24516761793862	0.0	124.32877178193007	92.55510529597949	32.361290540029046	6.701953891784283	216.88387707790957	4.2555993636308136E-10	
16	183.52558624759345	1	1	1	1	0	0	183.52558624759345	15.0	0	0.0033992571460104487	0.8306713907056441	1.1536917025728421	288.08051869525855	0.0	143.12661667412414	108.63227231290274	36.32162970823168	6.931376455555076	251.75888898702686	5.179004521306382E-10	
17	196.77397021950497	1	1	1	1	0	0	196.77397021950497	16.0	0	0.0038806896257525866	0.8028753473283646	1.1330254895750924	330.3432396440925	0.0	163.3974579264247	126.46116685014405	40.48461486752378	7.159722915113846	289.8586247765687	6.028063367183486E-10	
18	210.1512866057031	1	1	1	1	0	0	210.1512866057031	17.0	0	0.004669526652740534	0.819941036841247	1.1040523458017153	400.143668364217	0.0	196.61164853644354	156.33034483096696	47.20167499680645	7.477319255964745	352.94199336741053	9.559278598948017E-10	
19	223.65776436901845	1	1	1	1	0	0	223.65776436901845	18.0	0	0.005492910890983369	0.7810362409247813	1.0716466542943446	473.5254240142662	0.0	231.2804585677208	188.08173347677217	54.16323196977323	7.742562191977865	419.362192044493	9.977278426777862E-10	
