time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
1	0	0.0	10.0	0.0	0.0	1.0	0.0	NaN	0.0	NaN	
2	0	0.0	10.0	0.0	0.0	1.0	0.0	NaN	0.0	NaN	
3	0	0.0	10.0	0.0	0.0	0.9868366698887	0.0	NaN	0.0	NaN	
4	0	0.0011257771665567782	10.0	0.0	0.0	0.9356925873044619	0.0	0.0	2.2515543331135568E-4	NaN	
5	0	0.0033581469321961525	10.0	5.450509732853544E-4	677.8283360034119	0.8653083555129673	0.0	0.0	6.716293864392305E-4	0.9045574867108994	
6	0	0.0066750936452028235	10.0	0.0016027881330934251	2072.9192634399087	0.795383518460089	0.0	0.0	0.0013350187290405648	0.8888815522573704	
7	0	0.009760723249558852	10.0	0.004262707670744381	5272.197328328493	0.8194234255075724	0.0	0.0	0.0019521446499117703	1.0239928453330749	
8	0	0.01138141925615808	10.0	0.005825584506558686	7420.64256673693	0.9514256992589537	0.0	0.0	0.002276283851231616	1.1495735363985005	
9	0	0.013608818486116166	10.0	0.008231342012894388	10129.358992110632	1.1326648148355933	0.0	0.0	0.0027217636972232334	1.0789881094182205	
10	0	0.016291311388243634	10.0	0.010078376145749777	12391.237834290192	1.3545711448787159	0.0	0.0	0.003258262277648727	1.1551913534987692	
11	0	0.01973705849218477	10.0	0.013249887794613118	16060.47674941276	1.6429024109974757	0.0	0.0	0.003947411698436955	1.1458879635262753	
12	0	0.023768171838940793	10.0	0.01533452439274667	18969.153313730523	1.9831817494898496	0.0	0.0	0.004753634367788159	1.1091899916156558	
13	0	0.028811836317712648	10.0	0.019386565559528328	23875.24712034452	2.412002547289935	0.0	0.0	0.00576236726354253	1.120420749062024	
14	0	0.034883767600665215	10.0	0.023274520538924055	28925.54489696148	2.9314724882264236	0.0	0.0	0.006976753520133043	1.1184246436345942	
15	0	0.04262582312178638	10.0	0.030165008129680353	37035.33138795252	3.597572683991789	0.0	0.0	0.008525164624357276	1.123390468978167	
16	0	0.05199401286416794	10.0	0.036524663564600525	45313.169801942946	4.412485669335715	0.0	0.0	0.010398802572833588	1.1542845670410011	
17	0	0.06340317479502061	10.0	0.04479947519427573	55688.42500487117	5.41404299509394	0.0	0.0	0.012680634959004122	1.1174173872719253	
18	0	0.0768924321287087	10.0	0.05206908016586022	66419.35053145507	6.60764308331837	0.0	0.0	0.01537848642574174	1.1007284661836154	
19	0	0.09341960282362	10.0	0.06387440590433173	81938.34610700728	8.080579709004608	0.0	0.0	0.018683920564724	1.0889461596466707	
20	0	0.11333905605968	10.0	0.07666664664260185	99441.29445382125	9.8677648317812	0.0	0.0	0.022667811211936003	1.1232808768028963	
21	0	0.1373482135294353	10.0	0.0924453380608267	120969.10483034953	12.041615040846125	0.0	0.0	0.027469642705887063	1.0934911242674503	
22	0	0.1649658356594704	10.0	0.11071971378453331	146556.9722069696	14.722747101554582	0.0	0.0	0.03299316713189408	1.0681358134807901	
23	0	0.19431424547253598	10.0	0.13015690297649618	173996.72632877764	18.027852575454677	0.0	0.0	0.0388628490945072	1.0433359542838099	
24	0	0.22519317183329896	10.0	0.14594209685406795	199087.76421907535	21.896544905028502	0.0	0.0	0.045038634366659794	1.0167893381945798	
25	0	0.2573892808714188	10.0	0.1630254251074368	225989.84306263927	26.379313429224467	0.0	0.0	0.05147785617428377	0.9962615229865492	
26	0	0.2915384153757956	10.0	0.18137948582803914	253684.9111287739	31.463494202401733	0.0	0.0	0.05830768307515912	0.97071554910599	
