time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	transpiration	
1	11.247441493196293	1	1	1	1	0	0	11.247441493196293	1.0	0	0.0	NaN	NaN	100.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
1	11.247441493196293	2	1	1	2	0	0	11.247441493196293	1.0	0	0.0	NaN	NaN	100.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
2	11.367595075476835	1	1	1	1	0	0	11.367595075476835	1.0	0	0.0	NaN	NaN	100.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
2	11.367595075476835	2	1	1	2	0	0	11.367595075476835	1.0	0	0.0	NaN	NaN	100.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
3	22.856168219862564	1	1	1	1	0	0	22.856168219862564	2.0	0	0.0	NaN	NaN	98.68366698887	0.0	0.0	0.0	0.9714436926366637	0.0	0.0	0.0	
3	22.856168219862564	2	1	1	2	0	0	22.856168219862564	2.0	0	0.0	NaN	NaN	98.68366698887	0.0	0.0	0.0	0.9714436926366637	0.0	0.0	0.0	
4	34.4665080713728	1	1	1	1	0	0	34.4665080713728	3.0	0	1.1257771665567784E-4	NaN	NaN	93.5692587304462	0.0	4.740114385502225	3.1600762570014824	2.9325153130222326	2.6939980867011464	7.900190642503707	0.0	
4	34.4665080713728	2	1	1	2	0	0	34.4665080713728	3.0	0	1.1257771665567784E-4	NaN	NaN	93.5692587304462	0.0	4.740114385502225	3.1600762570014824	2.9325153130222326	2.6939980867011464	7.900190642503707	0.0	
5	46.1993671861199	1	1	1	1	0	0	46.1993671861199	4.0	0	3.3581469321961526E-4	0.5742001337758722	0.8564898060180722	86.76724338160942	0.0	14.13956603029959	9.426377353533061	5.901167065820747	3.9934377591723123	23.565943383832654	9.735351661753605E-12	
5	46.1993671861199	2	1	1	2	0	0	46.1993671861199	4.0	0	3.3581469321961526E-4	0.39411045108420006	0.9526251674037267	86.29442772098405	0.0	14.13956603029959	9.426377353533061	5.901167065820747	3.9934377591723123	23.565943383832654	7.608920004800464E-12	
6	58.055461815114334	1	1	1	1	0	0	58.055461815114334	5.0	0	6.675093645202824E-4	0.44232866246675784	0.9283661270129675	79.38531126503506	0.0	28.105657453485577	18.737104968990387	9.895080542697137	4.7339445313608195	46.842762422475964	2.461694472010406E-11	
6	58.055461815114334	2	1	1	2	0	0	58.055461815114334	5.0	0	6.675093645202824E-4	0.5122383445493632	0.8493969775017733	79.69139242698274	0.0	28.105657453485577	18.737104968990387	9.895080542697137	4.7339445313608195	46.842762422475964	2.8070421003668908E-11	
7	70.03547169202406	1	1	1	1	0	0	70.03547169202406	6.0	0	9.895268277225683E-4	0.7395827505593042	1.0670841130179627	83.04135329698671	0.0	41.66428748305551	27.77619165537034	13.600874158560874	5.105589414980178	69.44047913842584	7.3294063219854E-11	
7	70.03547169202406	2	1	1	2	0	0	70.03547169202406	6.0	0	9.62617822189202E-4	0.5376151128168457	0.9809015776481873	80.84333180452778	0.0	40.53127672375587	27.020851149170582	13.29120393160132	5.08246869287091	67.55212787292646	5.7980469299783685E-11	
8	82.14003983175478	1	1	1	1	0	0	82.14003983175478	7.0	0	0.0011528156745236893	0.5911465756770367	1.0841580897885648	96.34088570048635	0.0	48.53960734836586	32.359738232243906	15.441540119876572	5.239072330387238	80.89934558060978	9.289900921685233E-11	
8	82.14003983175478	2	1	1	2	0	0	82.14003983175478	7.0	0	0.001123468176707927	0.602691423522127	1.214988983008436	93.94425415130438	0.0	47.30392322980745	31.535948819871635	15.104382101625285	5.219668803346523	78.83987204967909	9.14074173761787E-11	
9	94.36977233991072	1	1	1	1	0	0	94.36977233991072	8.0	0	0.0013831860661248458	0.7422909570941106	1.120715793140581	115.0856735531891	0.0	58.23941331051982	38.82627554034654	18.01998470232273	5.386557783168087	97.06568885086637	1.281726677826142E-10	
9	94.36977233991072	2	1	1	2	0	0	94.36977233991072	8.0	0	0.0013385776310983878	0.703663680532641	1.03726042569586	111.44728941392961	0.0	56.36116341466896	37.57410894311264	17.51201705614801	5.364046417759933	93.9352723577816	1.2010184780361813E-10	
10	106.72523823319248	1	1	1	1	0	0	106.72523823319248	9.0	0	0.001671433683995127	0.7986556915961038	1.1848024249750417	138.93064662824816	0.0	70.37615511558428	47.56035328665015	20.994138226013725	5.617592259924246	117.93650840223444	1.692543226310111E-10	
10	106.72523823319248	2	1	1	2	0	0	106.72523823319248	9.0	0	0.0015868285936536	0.6805625491854372	1.125580282022497	131.98358234749506	0.0	66.81383552225682	45.09626376115416	20.073483064084062	5.575021481132146	111.91009928341099	1.4789352853203646E-10	
11	119.20696927078511	1	1	1	1	0	0	119.20696927078511	10.0	0	0.0020405354574933423	0.8615458944923222	1.1518135405016199	169.8161348748162	0.0	85.9172824207723	59.28599675121066	24.61285570283325	5.899489312622436	145.20327917198296	2.662115595089998E-10	
11	119.20696927078511	2	1	1	2	0	0	119.20696927078511	10.0	0	0.0019068762409436126	0.7625024753143411	1.1399623865509307	158.7643473246789	0.0	80.2895259344679	55.26355330903885	23.21126808117215	5.839968706985932	135.55307924350674	2.8921880924944835E-10	
12	131.81545979678634	1	1	1	1	0	0	131.81545979678634	11.0	0	0.002448390365871431	0.7546044464646463	1.1453688103815505	204.24448914955985	0.0	103.09012066827077	72.66848338264933	28.485885098639745	6.170024327568214	175.7586040509201	3.331250213105039E-10	
12	131.81545979678634	2	1	1	2	0	0	131.81545979678634	11.0	0	0.0023052440019167278	0.8008426117892168	1.073011172849761	192.39186074841004	0.0	97.06290534386223	68.3347487908321	26.994206613715697	6.127153744561477	165.39765413469433	2.968074702549766E-10	
13	144.55116659372183	1	1	1	1	0	0	144.55116659372183	12.0	0	0.0029514854103683194	0.7817358447543639	1.1189769259445104	247.01847208566468	0.0	124.273069910245	89.57085510444062	33.17454707097906	6.446023951951865	213.84392501468562	4.0210170273180627E-10	
13	144.55116659372183	2	1	1	2	0	0	144.55116659372183	12.0	0	0.0028108818531742104	0.8516749633966239	1.1218645721795375	235.38203737232234	0.0	118.35292013365097	85.32255062280709	31.706566615864325	6.423763040131548	203.67547075645805	4.3001866861555556E-10	
14	157.4145087471906	1	1	1	1	0	0	157.4145087471906	13.0	0	0.0035872990772730703	0.8310773876247225	1.1204664590144466	301.41402971012724	0.0	151.0441716746556	111.32356305703853	39.04629497843317	6.719401543132589	262.3677347316941	5.247217981242675E-10	
14	157.4145087471906	2	1	1	2	0	0	157.4145087471906	13.0	0	0.0033894544428599727	0.7833809595507583	1.1163828282547417	284.8804679351575	0.0	142.71387127831463	105.11690426430886	37.049692392534055	6.689145294835545	247.83077554262348	5.124064099256419E-10	
15	170.40586752168093	1	1	1	1	0	0	170.40586752168093	14.0	0	0.004401847718252259	0.8949805590544452	1.1084823175917384	371.4950318078851	0.0	185.34095655798984	139.59802169908028	46.55605355081504	6.979521533164435	324.9389782570701	6.881937204066899E-10	
15	170.40586752168093	2	1	1	2	0	0	170.40586752168093	14.0	0	0.004123316906105017	0.8327117947280008	1.1382986203645957	348.0195049904728	0.0	173.61334341494808	130.59059953808074	43.815562037443996	6.94282873041915	304.2039429530288	6.23072425013669E-10	
16	183.52558624759345	1	1	1	1	0	0	183.52558624759345	15.0	0	0.005391884295324475	0.8853962105826901	1.1673965105020094	457.61558282231204	0.0	227.0267071715569	175.2504477449207	55.338427905834386	7.269399766849269	402.27715491647757	8.800745666763777E-10	
16	183.52558624759345	2	1	1	2	0	0	183.52558624759345	15.0	0	0.005006918277509112	0.8264107516383821	1.1411726235799928	424.88155104483104	0.0	210.81761168459417	162.41016386281356	51.65377549742327	7.225566223441423	373.22777554740776	7.63940393971527E-10	
17	196.77397021950497	1	1	1	1	0	0	196.77397021950497	16.0	0	0.006572550013578052	0.8557522334648985	1.0967415720335378	561.2607415601099	0.0	276.7389479401285	218.9740548138786	65.54773880610264	7.562625527333295	495.7130027540071	1.5688240513006723E-9	
17	196.77397021950497	2	1	1	2	0	0	196.77397021950497	16.0	0	0.006108084945426071	0.8679546518799774	1.1380932025103128	521.5478574586782	0.0	257.1825240179399	203.18968168997048	61.1756517507678	7.525415627503018	460.3722057079104	1.1960307539379987E-9	
18	210.1512866057031	1	1	1	1	0	0	210.1512866057031	17.0	0	0.007962338566703824	0.8130581360734931	1.099097277439893	684.2365065402475	0.0	335.25636070331893	271.59815868934027	77.38198714758829	7.842322764795691	606.8545193926592	1.6465528183488836E-9	
18	210.1512866057031	2	1	1	2	0	0	210.1512866057031	17.0	0	0.007416147859037917	0.8300393355987956	1.102359654927338	637.2921101234265	0.0	312.2588572226491	252.71925831997692	72.31399458080041	7.812846169234156	564.978115542626	1.42968484192563E-9	
19	223.65776436901845	1	1	1	1	0	0	223.65776436901845	18.0	0	0.009638471790576524	0.8065260276136315	1.0777037367553635	833.6170666219439	0.0	405.8303911821695	336.2333009977515	91.55337444202294	8.105257689325695	742.063692179921	2.1886510994410023E-9	
19	223.65776436901845	2	1	1	2	0	0	223.65776436901845	18.0	0	0.009045448774147476	0.8566506502975879	1.100188582537978	782.4988751789776	0.0	380.8610010167359	315.5484505413521	86.08942362088965	8.08937291327275	696.409451558088	1.913869086472582E-9	
20	237.29359419897813	1	1	1	1	0	0	237.29359419897813	19.0	0	0.011659806577443893	0.7984245329005168	1.1099846689956445	1014.972418921498	0.0	490.939224313427	415.3920499550553	108.64114465301571	8.342431195503092	906.3312742684823	2.696220268397968E-9	
20	237.29359419897813	2	1	1	2	0	0	237.29359419897813	19.0	0	0.01100800463449211	0.8443734724454675	1.1365770846101484	958.5805474347421	0.0	463.4949319786151	392.4053213937409	102.68029406238608	8.335584361029698	855.900253372356	2.376210896773834E-9	
21	251.0589284553002	1	1	1	1	0	0	251.0589284553002	20.0	0	0.014130763686210905	0.8142943281712229	1.084761723613976	1238.6991629461552	0.0	594.9795236299328	514.7086709319343	129.0109683842882	8.601502712981823	1109.688194561867	3.189972317722909E-9	
21	251.0589284553002	2	1	1	2	0	0	251.0589284553002	20.0	0	0.013338879019676158	0.8170920659313706	1.1022205249209245	1169.6238452230698	0.0	561.6370113547856	486.09151571766984	121.8953181506144	8.595313937963372	1047.7285270724556	2.7579930944229275E-9	
22	264.9538811227463	1	1	1	1	0	0	264.9538811227463	21.0	0	0.016892525899214413	0.8075968573158118	1.054760917225566	1518.2175399038724	0.0	711.2642483879753	628.1117615435556	151.43440915289682	8.844594946576644	1339.376009931531	4.430938463869054E-9	
22	264.9538811227463	2	1	1	2	0	0	264.9538811227463	21.0	0	0.016100641232679666	0.804564041447532	1.081510709736014	1426.331880407044	0.0	677.9217361128281	599.4946063292912	144.31875891922303	8.851353434636344	1277.4163424421192	4.090868953155633E-9	
23	278.9785277773454	1	1	1	1	0	0	278.9785277773454	22.0	0	0.019827366880520975	0.7736788481075654	1.0023876597829502	1852.9430722906309	0.0	834.8365002324621	750.826057151842	175.1022451456334	9.055638070576997	1585.662557384304	5.455097468792846E-9	
23	278.9785277773454	2	1	1	2	0	0	278.9785277773454	22.0	0	0.019035482213986224	0.8050605207983088	1.0842842487846696	1752.6274428003046	0.0	801.4939879573146	722.2089019375775	167.9865949119596	9.070383804692584	1523.702889894892	5.6896294163343415E-9	
24	293.13290556399915	1	1	1	1	0	0	293.13290556399915	23.0	0	0.022915259516597272	0.7432197477977855	1.0055965871306585	2243.935749447307	0.0	964.8530322777799	881.9976366636931	200.02011673886113	9.23332462280608	1846.850668941473	6.921213288686435E-9	
24	293.13290556399915	2	1	1	2	0	0	293.13290556399915	23.0	0	0.02212337485006252	0.7592310295013098	1.0279820892585012	2135.373231558394	0.0	931.5105200026326	853.3804814494285	192.90446650518734	9.25271992810008	1784.8910014520611	6.799215573853179E-9	
25	307.41701318547484	1	1	1	1	0	0	307.41701318547484	24.0	0	0.02613487042040926	0.7097585926200993	0.9975096921438042	2694.294281659363	0.0	1100.415596648811	1020.7143603145565	226.1925811501612	9.377539909477512	2121.1299569633675	8.277258526600673E-9	
25	307.41701318547484	2	1	1	2	0	0	307.41701318547484	24.0	0	0.025342985753874513	0.738620702682564	0.9950133538292943	2581.5684041855297	0.0	1067.0730843736637	992.097205100292	219.0769309164874	9.399302249030116	2059.1702894739556	7.152765973774857E-9	
26	321.83081090278995	1	1	1	1	0	0	321.83081090278995	25.0	0	0.029549783870846932	0.6838321116042523	0.9676093699875247	3198.2631658988284	0.0	1244.2014261409233	1170.8468490000118	253.62306912535308	9.522194820327243	2415.0482751409354	8.582930439447323E-9	
26	321.83081090278995	2	1	1	2	0	0	321.83081090278995	25.0	0	0.02875789920431219	0.7261983145258326	0.9738217282244552	3094.4356745815185	0.0	1210.858913865776	1142.2296937857473	246.50741889167927	9.545711111784112	2353.0886076515235	8.217054112743797E-9	
27	336.3742205469876	1	1	1	1	0	0	336.3742205469876	26.0	0	0.033133055680395575	0.690535177324995	0.9421308783109542	3778.816882524696	0.0	1395.0760286482346	1331.199205279545	282.31384199793354	9.656895370889165	2726.2752339277795	1.1017456883023475E-8	
27	336.3742205469876	2	1	1	2	0	0	336.3742205469876	26.0	0	0.03234117101386083	0.6925485660559746	0.9293684991111995	3665.275732503446	0.0	1361.7335163730872	1302.5820500652803	275.1981917642597	9.681442851632811	2664.3155664383676	1.0903554592875156E-8	
28	351.0471255422998	1	1	1	1	0	0	351.0471255422998	27.0	0	0.03685607787320678	0.6628608422483231	0.9209432287702741	4424.335433109218	0.0	1551.8348578192326	1500.498226612357	312.26594918912343	9.77478681988137	3052.3330844315897	1.2112623273677908E-8	
28	351.0471255422998	2	1	1	2	0	0	351.0471255422998	27.0	0	0.036064193206672035	0.6787864581022599	0.9348999048412965	4306.023825088466	0.0	1518.4923455440853	1471.8810713980924	305.1502989554496	9.799673889157019	2990.3734169421778	1.2888912348866324E-8	
29	365.8493709406912	1	1	1	1	0	0	365.8493709406912	28.0	0	0.04068854203232466	0.6554038643914305	0.9028365702139317	5143.444083771239	0.0	1713.201769782091	1677.3916565581183	343.47918621758635	9.871321356259255	3390.5934263402096	1.4567718577404876E-8	
29	365.8493709406912	2	1	1	2	0	0	365.8493709406912	28.0	0	0.039896657365789914	0.6694276773894798	0.9139241123555634	5015.483775874129	0.0	1679.8592575069433	1648.7745013438534	336.3635359839125	9.895941155197029	3328.6337588507968	1.3931871508604734E-8	
30	380.78076346777357	1	1	1	1	0	0	380.78076346777357	29.0	0	0.04459840371978002	0.635314857421154	0.89528056959619	5934.589155883614	0.0	1877.8275250433692	1860.446485353973	375.95205328865165	9.943486084719261	3738.274010397342	1.5169647801063248E-8	
30	380.78076346777357	2	1	1	2	0	0	380.78076346777357	29.0	0	0.04380651905324527	0.6413276487337009	0.892188377568148	5790.44087192627	0.0	1844.4850127682218	1831.8293301397089	368.83640305497784	9.96733053586348	3676.314342907931	1.703469483650965E-8	
31	395.8410715800774	1	1	1	1	0	0	395.8410715800774	30.0	0	0.048645889985288154	0.6270895230124128	0.8847527773223979	6794.4634348468435	0.0	2048.2479993805537	2053.426850899321	409.6817145335293	10.011857265707143	4101.674850279875	1.6235978396074727E-8	
31	395.8410715800774	2	1	1	2	0	0	395.8410715800774	30.0	0	0.047854005318753404	0.6202014185955144	0.8659098286071598	6622.146059977282	0.0	2014.905487105406	2024.8096956850563	402.5660642998555	10.034912380943862	4039.7151827904627	1.5730958268333745E-8	
32	411.030025533663	1	1	1	1	0	0	411.030025533663	31.0	0	0.05279183235989427	0.6054237054470638	0.8668948759958802	7716.722602794169	0.0	2222.8139941008108	2254.534059914926	444.663957969543	10.06905995813227	4477.348054015736	1.932993685160897E-8	
32	411.030025533663	2	1	1	2	0	0	411.030025533663	31.0	0	0.05199994769335953	0.5933422839103369	0.8491678307768219	7506.151583841404	0.0	2189.471481825664	2225.9169047006617	437.5483077358692	10.091202064919704	4415.388386526325	1.9935508397987466E-8	
