plant#	rootMass(mg)	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.9714436926366637	
2	0.9714436926366637	
1	2.9325153130222326	
2	2.9325153130222326	
1	5.901167065820747	
2	5.901167065820747	
1	9.895080542697137	
2	9.895080542697137	
1	13.600874158560874	
2	13.29120393160132	
1	15.441540119876572	
2	15.104382101625285	
1	18.01998470232273	
2	17.51201705614801	
1	20.994138226013725	
2	20.073483064084062	
1	24.61285570283325	
2	23.21126808117215	
1	28.485885098639745	
2	26.994206613715697	
1	33.17454707097906	
2	31.706566615864325	
1	39.04629497843317	
2	37.049692392534055	
1	46.55605355081504	
2	43.815562037443996	
1	55.338427905834386	
2	51.65377549742327	
1	65.54773880610264	
2	61.1756517507678	
1	77.38198714758829	
2	72.31399458080041	
1	91.55337444202294	
2	86.08942362088965	
1	108.64114465301571	
2	102.68029406238608	
1	129.0109683842882	
2	121.8953181506144	
1	151.43440915289682	
2	144.31875891922303	
1	175.1022451456334	
2	167.9865949119596	
1	200.02011673886113	
2	192.90446650518734	
1	226.1925811501612	
2	219.0769309164874	
1	253.62306912535308	
2	246.50741889167927	
1	282.31384199793354	
2	275.1981917642597	
1	312.26594918912343	
2	305.1502989554496	
1	343.47918621758635	
2	336.3635359839125	
1	375.95205328865165	
2	368.83640305497784	
1	409.6817145335293	
2	402.5660642998555	
1	444.663957969543	
2	437.5483077358692	
1	480.893156252834	
2	473.77750601916017	
1	518.3622282952877	
2	511.24657806161383	
1	557.062601817614	
2	549.9469515839402	
1	596.9841769105666	
2	589.8685266768928	
1	638.1152906762118	
2	630.999640442538	
1	680.4426830209516	
2	673.3270327872777	
1	723.9514636716724	
2	716.8358134379985	
1	768.62508048592	
2	761.509430252246	
1	814.4452891264018	
2	807.3296388927279	
1	861.3921241693762	
2	854.2764739357023	
1	909.4438717156183	
2	902.3282214819444	
1	958.5770435716433	
2	951.4613933379694	
1	1008.7663530677214	
2	1001.6507028340475	
1	1059.984692577935	
2	1052.869042344261	
1	1112.20311280612	
2	1105.0874625724462	
1	1165.3908038999698	
2	1158.2751536662959	
1	1219.5150784539028	
2	1212.3994282202289	
1	1274.5413564594776	
2	1267.4257062258037	
1	1330.4331522601785	
2	1323.3175020265046	
1	1387.1520635653296	
2	1380.0364133316557	
1	1444.6577625756763	
2	1437.5421123420024	
1	1502.9079892708519	
2	1495.792339037178	
1	1561.8585469064851	
2	1554.7428966728112	
1	1621.4632997661372	
2	1614.3476495324633	
1	1681.6741732105643	
2	1674.5585229768903	
1	1742.4411560639992	
2	1735.3255058303253	
1	1803.7123053742375	
2	1796.5966551405636	
1	1865.4337535802947	
2	1858.3181033466208	
