plant#	rootMass(mg)	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.7285827694774977	
2	0.9714436926366637	
1	2.199386484766674	
2	2.9325153130222326	
1	4.4258752993655595	
2	5.901167065820747	
1	7.421310407022851	
2	9.895080542697137	
1	8.82514204744957	
2	13.393623413784205	
1	9.083904457022125	
2	15.552052035593679	
1	9.339991144627824	
2	18.32109359272111	
1	9.598460358087875	
2	21.02808301463089	
1	9.843846788618599	
2	24.24076771435507	
1	10.357332403370382	
2	28.020749420588643	
1	10.828438259105962	
2	32.22471089803314	
1	11.62027205715541	
2	37.63785118394834	
1	12.632494878865726	
2	44.98834484356103	
1	13.798328032015073	
2	52.75372792193873	
1	15.414628917445247	
2	62.065100425675304	
1	17.20335055241254	
2	73.24304327734811	
1	20.138141878864403	
2	86.7084982865064	
1	23.57420620177613	
2	102.99745560492987	
1	28.646006572430814	
2	123.15463153473387	
1	35.341843825715664	
2	145.5780723033425	
1	44.85046707884199	
2	169.24590829607908	
1	55.69056648101744	
2	194.16377988930682	
1	70.6481795674	
2	220.3362443006069	
1	87.88249341857059	
2	247.76673227579874	
1	108.45254977202823	
2	276.4575051483792	
1	130.91663016542063	
2	306.4096123395691	
1	154.32655793676778	
2	337.622849368032	
1	178.68120824006675	
2	370.0957164390973	
1	203.978454173725	
2	403.825377683975	
1	230.21513675073527	
2	438.80762111998865	
1	257.3870354632035	
2	475.03681940327965	
1	285.4888394950438	
2	512.5058914457334	
1	314.51411963678856	
2	551.2062649680597	
1	344.45530095650304	
2	591.1278400610123	
1	375.30363628073695	
2	632.2589538266575	
1	407.0491805392918	
2	674.5863461713973	
1	439.68076602733237	
2	718.0951268221181	
1	473.18597863801807	
2	762.7687436363657	
1	507.5511351183795	
2	808.5889522768475	
1	542.7612614006102	
2	855.5357873198219	
1	578.8000720602918	
2	903.5875348660641	
1	615.6499509523105	
2	952.7207067220891	
1	653.2919330743691	
2	1002.9100162181671	
1	691.7056877070294	
2	1054.1283557283807	
1	730.8695028781682	
2	1106.3467759565658	
1	770.7602711985554	
2	1159.5344670504155	
1	811.3534771140052	
2	1213.6587416043485	
1	852.6231856181863	
2	1268.6850196099233	
1	894.542032468712	
2	1324.5768154106242	
1	937.0812159475754	
2	1381.2957267157753	
1	980.2104902053354	
2	1438.801425726122	
1	1023.8981602267171	
2	1497.0516524212976	
1	1068.111078453442	
2	1556.0022100569308	
1	1112.8146430981808	
2	1615.606962916583	
1	1157.972798181501	
2	1675.81783636101	
1	1203.5480353215771	
2	1736.584819214445	
1	1249.5013973042558	
2	1797.8559685246832	
1	1295.7924834587986	
2	1859.5774167307404	
