plant#	transpiration	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.0	
2	6.997986006934153E-12	
1	0.0	
2	2.5425897996169227E-11	
1	0.0	
2	6.580371113411296E-11	
1	2.4136269798410725E-12	
2	1.0725643084319645E-10	
1	2.7081268206942097E-12	
2	1.3698172776374713E-10	
1	2.9477488722170546E-12	
2	1.5622425783844324E-10	
1	2.9807166735299037E-12	
2	2.990270470677281E-10	
1	5.86201033544085E-12	
2	2.7943738792660776E-10	
1	5.7181382056330825E-12	
2	3.7485505237358997E-10	
1	8.638008874367484E-12	
2	4.910306621238673E-10	
1	1.1771122540329513E-11	
2	6.599194318832194E-10	
1	1.583508365480598E-11	
2	8.136802197202259E-10	
1	2.440073574748201E-11	
2	1.1896400614851762E-9	
1	4.433596210121776E-11	
2	1.5585709717943933E-9	
1	6.726240642002509E-11	
2	1.7890033844931585E-9	
1	7.343166524108454E-11	
2	2.2127355008552913E-9	
1	9.942276116115249E-11	
2	2.943456997903557E-9	
1	1.323763300958312E-10	
2	3.975270704378054E-9	
1	2.1183323675155176E-10	
2	5.461066345197109E-9	
1	2.711728003952366E-10	
2	6.628041990327299E-9	
1	3.8453761552910465E-10	
2	7.636741660227761E-9	
1	4.334141226567777E-10	
2	9.099738572225242E-9	
1	5.171540062241614E-10	
2	1.1776880926891751E-8	
1	6.459202108305046E-10	
2	1.3387314239463527E-8	
1	8.496219870733917E-10	
2	1.5688141115364276E-8	
1	1.0864406844849972E-9	
2	1.7108011437271435E-8	
1	1.1787094559302807E-9	
2	1.8335823851217716E-8	
1	1.4347211831085736E-9	
2	2.2271038244712438E-8	
1	1.6252779337690676E-9	
2	2.404719446036086E-8	
1	1.6924203279417822E-9	
2	2.6060724234679702E-8	
1	2.47822936633906E-9	
2	2.806528546293979E-8	
1	2.3864374642713867E-9	
2	3.130824661488263E-8	
1	2.979880985320432E-9	
2	3.7275954622981696E-8	
1	3.1234834329047728E-9	
2	4.0179922959754723E-8	
1	3.4286266547319257E-9	
2	4.1704464794529964E-8	
1	3.6847660950246868E-9	
2	4.4343201333822914E-8	
1	4.225900843119305E-9	
2	4.9707052211608696E-8	
1	4.754781764750118E-9	
2	5.364615348738043E-8	
1	5.421879422724284E-9	
2	5.569484144121666E-8	
1	5.557560257632802E-9	
2	5.840802414883172E-8	
1	6.4273734465635106E-9	
2	6.051449529051923E-8	
1	6.531026557735784E-9	
2	6.997650746094754E-8	
1	7.789735168513369E-9	
2	7.450478538488998E-8	
1	7.2392060676507636E-9	
2	7.322119990578241E-8	
1	8.47143014934452E-9	
2	7.549730405608475E-8	
1	8.936053219079412E-9	
2	8.454317535686188E-8	
1	9.702273561945577E-9	
2	8.805052811156846E-8	
1	1.166432195491712E-8	
2	8.869122009478272E-8	
1	1.2441680949372031E-8	
2	9.437280588068275E-8	
1	1.2619883148728813E-8	
2	1.0773991506260933E-7	
1	1.3010215058457477E-8	
2	1.0634380152286981E-7	
1	1.4078690085112713E-8	
2	1.1094588956412458E-7	
1	1.6048960750131436E-8	
2	1.1434694946580462E-7	
1	1.7162288972723376E-8	
2	1.2552266155521474E-7	
1	1.7527336898985458E-8	
2	1.2852350997782927E-7	
1	1.8364661516942474E-8	
2	1.301881481898448E-7	
