Croiss	Ramif	ICMeca	Direction contr. (0 : isotrope, 1 verticale)
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
2.5	1	0.02	0
